,title,foreign_gross,release_date,production_budget,domestic_gross_y,worldwide_gross,net_profit,ROI
0,Toy Story 3,652000000,2010-06-18,200000000,415004880,1068879522,868879522,434.439761
1,Inception,535700000,2010-07-16,160000000,292576195,835524642,675524642,422.20290125
2,Shrek Forever After,513900000,2010-05-21,165000000,238736787,756244673,591244673,358.3301048484849
3,The Twilight Saga: Eclipse,398000000,2010-06-30,68000000,300531751,706102828,638102828,938.3865117647058
4,Iron Man 2,311500000,2010-05-07,170000000,312433331,621156389,451156389,265.3861111764706
5,Tangled,391000000,2010-11-24,260000000,200821936,586477240,326477240,125.56816923076923
6,Despicable Me,291600000,2010-07-09,69000000,251513985,543464573,474464573,687.6298159420289
7,How to Train Your Dragon,277300000,2010-03-26,165000000,217581232,494870992,329870992,199.92181333333335
8,The Chronicles of Narnia: The Voyage of the Dawn Treader,311300000,2010-12-10,155000000,104386950,418186950,263186950,169.79803225806452
9,The Karate Kid,182500000,2010-06-11,40000000,176591618,351774938,311774938,779.437345
11,Black Swan,222400000,2010-12-03,13000000,106954678,331266710,318266710,2448.205461538462
12,Megamind,173500000,2010-11-05,130000000,148415853,321887208,191887208,147.60554461538462
13,Robin Hood,216400000,2010-05-14,210000000,105487148,322459006,112459006,53.551907619047626
15,The Last Airbender,187900000,2010-07-01,150000000,131772187,319713881,169713881,113.14258733333334
16,Little Fockers,162200000,2010-12-22,100000000,148438600,310650574,210650574,210.65057399999998
17,Resident Evil: Afterlife,240100000,2010-09-10,57500000,60128566,295874190,238374190,414.5638086956522
18,Shutter Island,166800000,2010-02-19,80000000,128012934,299461782,219461782,274.3272275
19,Salt,175200000,2010-07-23,130000000,118311368,290650494,160650494,123.57730307692307
20,Sex and the City 2,193000000,2010-05-27,95000000,95347692,294680778,199680778,210.19029263157893
21,The Tourist,210700000,2010-12-10,100000000,67631157,278731369,178731369,178.731369
22,The Expendables,171400000,2010-08-13,82000000,103068524,268268174,186268174,227.15630975609758
23,Grown Ups,109400000,2010-06-25,75000000,162001186,272223430,197223430,262.9645733333333
24,True Grit,81000000,2010-12-22,35000000,171243005,252276928,217276928,620.7912228571429
25,Gulliver's Travels,194600000,2010-12-25,112000000,42779261,232017848,120017848,107.15879285714284
26,The Social Network,128000000,2010-10-01,40000000,96962694,224922135,184922135,462.30533749999995
27,Valentine's Day,106000000,2010-02-12,52000000,110485654,217569328,165569328,318.40255384615386
28,The Sorcerer's Apprentice,152100000,2010-07-14,160000000,63150991,217986320,57986320,36.24145
29,Due Date,111200000,2010-11-05,65000000,100539043,211739043,146739043,225.75237384615386
30,Eat Pray Love,124000000,2010-08-13,60000000,80574010,206598789,146598789,244.331315
31,Yogi Bear,101300000,2010-12-17,80000000,100246011,204774690,124774690,155.96836249999998
32,Red,108600000,2010-10-15,60000000,90380162,196439693,136439693,227.39948833333332
33,Paranormal Activity 2,92800000,2010-10-20,3000000,84752907,177512032,174512032,5817.067733333333
34,The A-Team,100000000,2010-06-11,110000000,77222099,177241171,67241171,61.12833727272727
35,The Other Guys,51200000,2010-08-06,100000000,119219978,170936470,70936470,70.93647
36,Unstoppable,86200000,2010-11-12,95000000,81562942,165720921,70720921,74.4430747368421
37,The Book of Eli,62300000,2010-01-15,80000000,94835059,158750817,78750817,98.43852125
38,The Town,61800000,2010-09-17,37000000,92186262,152566881,115566881,312.3429216216216
39,Date Night,53600000,2010-04-09,55000000,98711404,152269033,97269033,176.85278727272726
40,Legend of the Guardians: The Owls of Ga'Hoole,84400000,2010-09-24,100000000,55675313,139716717,39716717,39.716717
41,The Wolfman,77800000,2010-02-12,150000000,62189884,142634358,-7365642,-4.910428
42,The Bounty Hunter,69300000,2010-03-19,45000000,67061228,135808837,90808837,201.79741555555557
43,Saw 3D,90400000,2010-10-29,17000000,45710178,133735284,116735284,686.6781411764705
44,The Fighter,35600000,2010-12-10,11000000,93617009,129262388,118262388,1075.112618181818
45,Predators,75200000,2010-07-09,40000000,52000688,127234389,87234389,218.0859725
46,Dear John,35000000,2010-02-05,25000000,80014842,142033509,117033509,468.13403600000004
47,Cats & Dogs: The Revenge of Kitty Galore,68900000,2010-07-30,85000000,43585753,113026383,28026383,32.972215294117646
48,Tooth Fairy,52400000,2010-01-22,48000000,60022256,112610386,64610386,134.60497083333334
49,Life as We Know It,52300000,2010-10-08,38000000,53374681,105887837,67887837,178.65220263157894
50,Hereafter,72500000,2010-10-15,50000000,32746941,108660270,58660270,117.32054000000001
51,The Girl with the Dragon Tattoo,94300000,2011-12-20,90000000,102515793,239373970,149373970,165.97107777777777
52,Love and Other Drugs,70500000,2010-11-24,30000000,32367005,102716321,72716321,242.38773666666668
53,Killers,51100000,2010-06-04,75000000,47059963,95572749,20572749,27.430332
54,Kick-Ass,48100000,2010-04-16,28000000,48071303,97531134,69531134,248.32547857142856
55,Green Zone,59800000,2010-03-12,100000000,35497337,97523020,-2476980,-2.47698
56,Get Him to the Greek,30300000,2010-06-04,40000000,61153526,91455875,51455875,128.6396875
57,Burlesque,50100000,2010-11-24,55000000,39440655,90552675,35552675,64.64122727272728
58,The Last Song,26100000,2010-03-31,20000000,62950384,92678948,72678948,363.39473999999996
59,Dinner for Schmucks,13800000,2010-07-30,69000000,73026337,86796502,17796502,25.79203188405797
60,Marmaduke,50100000,2010-06-04,50000000,33644788,89895930,39895930,79.79186
61,Piranha 3D,58200000,2010-08-20,24000000,25003155,83660160,59660160,248.584
62,Oceans,63200000,2010-04-22,80000000,19422319,86787530,6787530,8.484412500000001
63,Edge of Darkness,37800000,2010-01-29,60000000,43313890,82812456,22812456,38.020759999999996
64,Vampires Suck,43900000,2010-08-18,20000000,36661504,81424988,61424988,307.12494000000004
65,Letters to Juliet,26100000,2010-05-14,30000000,53032453,82148538,52148538,173.82846
66,Diary of a Wimpy Kid,11700000,2010-03-19,15000000,64003625,76954311,61954311,413.02874
67,Easy A,16600000,2010-09-17,8000000,58401464,76200721,68200721,852.5090125
68,Takers,11300000,2010-08-27,32000000,57744720,70587268,38587268,120.58521250000001
69,The American,32299999,2010-09-01,20000000,35606376,67950723,47950723,239.753615
70,The Last Exorcism,26700000,2010-08-27,1800000,41034350,70165900,68365900,3798.105555555556
71,The Next Three Days,46300000,2010-11-19,30000000,21148651,67255916,37255916,124.18638666666666
72,Skyline,45400000,2010-11-12,10000000,21416355,68264973,58264973,582.64973
73,Hot Tub Time Machine,14300000,2010-03-26,36000000,50269859,65967750,29967750,83.24375
74,Devil,29100000,2010-09-17,10000000,33679655,63354114,53354114,533.54114
75,127 Hours,42400000,2010-11-05,18000000,18335230,60217171,42217171,234.5398388888889
76,Secretariat,537000,2010-10-08,35000000,59699513,60376247,25376247,72.50356285714285
77,The Ghost Writer,44700000,2010-02-19,45000000,15541549,65532491,20532491,45.62775777777778
78,Morning Glory,29000000,2010-11-10,40000000,31011732,59795070,19795070,49.487674999999996
79,Remember Me,37000000,2010-03-12,16000000,19068240,56506120,40506120,253.16325
80,Cop Out,10700000,2010-02-26,37000000,44875481,55909910,18909910,51.10786486486486
81,The Crazies,15700000,2010-02-26,19000000,39123589,56445534,37445534,197.08175789473685
82,Daybreakers,21300000,2010-01-08,20000000,30101577,51445503,31445503,157.227515
83,The Switch,22100000,2010-08-20,19000000,27758465,49858465,30858465,162.41297368421053
84,She's Out of My League,17800000,2010-03-12,20000000,32010860,48680977,28680977,143.40488499999998
85,Charlie St. Cloud,17000000,2010-07-30,44000000,31206263,48478084,4478084,10.177463636363635
86,The Spy Next Door,20900000,2010-01-15,28000000,24307106,46752858,18752858,66.97449285714285
87,Machete,17500000,2010-09-03,12500000,26593646,46370970,33870970,270.96776
88,My Name is Khan,38300000,2010-02-12,8470000,4046336,42355526,33885526,400.0652420306966
89,Going the Distance,24200000,2010-09-03,32000000,17804299,43603990,11603990,36.26246875
90,Agora,38400000,2010-05-28,70000000,619423,38992292,-31007708,-44.296725714285714
91,For Colored Girls,17300,2010-11-05,21000000,37729698,38017873,17017873,81.03749047619047
92,Brooklyn's Finest,9300000,2010-03-05,17000000,27163593,39233233,22233233,130.78372352941176
93,Furry Vengeance,18600000,2010-04-30,35000000,17630465,39340177,4340177,12.400505714285714
94,Faster,12400000,2010-11-24,24000000,23240020,35792945,11792945,49.13727083333333
