,title_x,foreign_gross,release_date_x,production_budget,domestic_gross_y,worldwide_gross,net_profit,ROI,movie_id,runtime_minutes,genres,averagerating,numvotes,popularity,release_date_y,release_month
0,Toy Story 3,652000000,2010-06-18,200000000,415004880,1068879522,868879522,434.439761,tt0435761,103.0,Adventure,8.3,682218.0,24.445,2010-06-17,June
0,Toy Story 3,652000000,2010-06-18,200000000,415004880,1068879522,868879522,434.439761,tt0435761,103.0,Animation,8.3,682218.0,24.445,2010-06-17,June
0,Toy Story 3,652000000,2010-06-18,200000000,415004880,1068879522,868879522,434.439761,tt0435761,103.0,Comedy,8.3,682218.0,24.445,2010-06-17,June
1,Inception,535700000,2010-07-16,160000000,292576195,835524642,675524642,422.20290125,tt1375666,148.0,Action,8.8,1841066.0,27.92,2010-07-16,July
1,Inception,535700000,2010-07-16,160000000,292576195,835524642,675524642,422.20290125,tt1375666,148.0,Adventure,8.8,1841066.0,27.92,2010-07-16,July
1,Inception,535700000,2010-07-16,160000000,292576195,835524642,675524642,422.20290125,tt1375666,148.0,Sci-Fi,8.8,1841066.0,27.92,2010-07-16,July
2,Shrek Forever After,513900000,2010-05-21,165000000,238736787,756244673,591244673,358.3301048484849,tt0892791,93.0,Adventure,6.3,167532.0,15.040999999999999,2010-05-16,May
2,Shrek Forever After,513900000,2010-05-21,165000000,238736787,756244673,591244673,358.3301048484849,tt0892791,93.0,Animation,6.3,167532.0,15.040999999999999,2010-05-16,May
2,Shrek Forever After,513900000,2010-05-21,165000000,238736787,756244673,591244673,358.3301048484849,tt0892791,93.0,Comedy,6.3,167532.0,15.040999999999999,2010-05-16,May
3,The Twilight Saga: Eclipse,398000000,2010-06-30,68000000,300531751,706102828,638102828,938.3865117647058,tt1325004,124.0,Adventure,5.0,211733.0,20.34,2010-06-23,June
3,The Twilight Saga: Eclipse,398000000,2010-06-30,68000000,300531751,706102828,638102828,938.3865117647058,tt1325004,124.0,Drama,5.0,211733.0,20.34,2010-06-23,June
3,The Twilight Saga: Eclipse,398000000,2010-06-30,68000000,300531751,706102828,638102828,938.3865117647058,tt1325004,124.0,Fantasy,5.0,211733.0,20.34,2010-06-23,June
4,Iron Man 2,311500000,2010-05-07,170000000,312433331,621156389,451156389,265.3861111764706,tt1228705,124.0,Action,7.0,657690.0,28.515,2010-05-07,May
4,Iron Man 2,311500000,2010-05-07,170000000,312433331,621156389,451156389,265.3861111764706,tt1228705,124.0,Adventure,7.0,657690.0,28.515,2010-05-07,May
4,Iron Man 2,311500000,2010-05-07,170000000,312433331,621156389,451156389,265.3861111764706,tt1228705,124.0,Sci-Fi,7.0,657690.0,28.515,2010-05-07,May
5,Tangled,391000000,2010-11-24,260000000,200821936,586477240,326477240,125.56816923076923,tt0398286,100.0,Adventure,7.8,366366.0,21.511,2010-11-24,November
5,Tangled,391000000,2010-11-24,260000000,200821936,586477240,326477240,125.56816923076923,tt0398286,100.0,Animation,7.8,366366.0,21.511,2010-11-24,November
5,Tangled,391000000,2010-11-24,260000000,200821936,586477240,326477240,125.56816923076923,tt0398286,100.0,Comedy,7.8,366366.0,21.511,2010-11-24,November
6,Despicable Me,291600000,2010-07-09,69000000,251513985,543464573,474464573,687.6298159420289,tt1323594,95.0,Animation,7.7,464511.0,23.673000000000002,2010-07-09,July
6,Despicable Me,291600000,2010-07-09,69000000,251513985,543464573,474464573,687.6298159420289,tt1323594,95.0,Comedy,7.7,464511.0,23.673000000000002,2010-07-09,July
6,Despicable Me,291600000,2010-07-09,69000000,251513985,543464573,474464573,687.6298159420289,tt1323594,95.0,Family,7.7,464511.0,23.673000000000002,2010-07-09,July
7,How to Train Your Dragon,277300000,2010-03-26,165000000,217581232,494870992,329870992,199.92181333333335,tt0892769,98.0,Action,8.1,611299.0,28.734,2010-03-26,March
7,How to Train Your Dragon,277300000,2010-03-26,165000000,217581232,494870992,329870992,199.92181333333335,tt0892769,98.0,Adventure,8.1,611299.0,28.734,2010-03-26,March
7,How to Train Your Dragon,277300000,2010-03-26,165000000,217581232,494870992,329870992,199.92181333333335,tt0892769,98.0,Animation,8.1,611299.0,28.734,2010-03-26,March
8,The Chronicles of Narnia: The Voyage of the Dawn Treader,311300000,2010-12-10,155000000,104386950,418186950,263186950,169.79803225806452,tt0980970,113.0,Adventure,6.3,129663.0,17.382,2010-12-10,December
8,The Chronicles of Narnia: The Voyage of the Dawn Treader,311300000,2010-12-10,155000000,104386950,418186950,263186950,169.79803225806452,tt0980970,113.0,Family,6.3,129663.0,17.382,2010-12-10,December
8,The Chronicles of Narnia: The Voyage of the Dawn Treader,311300000,2010-12-10,155000000,104386950,418186950,263186950,169.79803225806452,tt0980970,113.0,Fantasy,6.3,129663.0,17.382,2010-12-10,December
9,The Karate Kid,182500000,2010-06-11,40000000,176591618,351774938,311774938,779.437345,tt1155076,140.0,Action,6.2,146401.0,12.255999999999998,2010-06-10,June
9,The Karate Kid,182500000,2010-06-11,40000000,176591618,351774938,311774938,779.437345,tt1155076,140.0,Drama,6.2,146401.0,12.255999999999998,2010-06-10,June
9,The Karate Kid,182500000,2010-06-11,40000000,176591618,351774938,311774938,779.437345,tt1155076,140.0,Family,6.2,146401.0,12.255999999999998,2010-06-10,June
10,Black Swan,222400000,2010-12-03,13000000,106954678,331266710,318266710,2448.205461538462,tt0947798,108.0,Drama,8.0,648854.0,13.745,2010-12-03,December
10,Black Swan,222400000,2010-12-03,13000000,106954678,331266710,318266710,2448.205461538462,tt0947798,108.0,Thriller,8.0,648854.0,13.745,2010-12-03,December
11,Megamind,173500000,2010-11-05,130000000,148415853,321887208,191887208,147.60554461538462,tt1001526,95.0,Action,7.3,207488.0,22.855,2010-11-04,November
11,Megamind,173500000,2010-11-05,130000000,148415853,321887208,191887208,147.60554461538462,tt1001526,95.0,Animation,7.3,207488.0,22.855,2010-11-04,November
11,Megamind,173500000,2010-11-05,130000000,148415853,321887208,191887208,147.60554461538462,tt1001526,95.0,Comedy,7.3,207488.0,22.855,2010-11-04,November
12,Robin Hood,216400000,2010-05-14,210000000,105487148,322459006,112459006,53.551907619047626,tt0955308,140.0,Action,6.6,239480.0,15.444,2010-05-14,May
12,Robin Hood,216400000,2010-05-14,210000000,105487148,322459006,112459006,53.551907619047626,tt0955308,140.0,Adventure,6.6,239480.0,15.444,2010-05-14,May
12,Robin Hood,216400000,2010-05-14,210000000,105487148,322459006,112459006,53.551907619047626,tt0955308,140.0,Drama,6.6,239480.0,15.444,2010-05-14,May
14,The Last Airbender,187900000,2010-07-01,150000000,131772187,319713881,169713881,113.14258733333334,tt0938283,103.0,Action,4.1,137734.0,16.595,2010-07-01,July
14,The Last Airbender,187900000,2010-07-01,150000000,131772187,319713881,169713881,113.14258733333334,tt0938283,103.0,Adventure,4.1,137734.0,16.595,2010-07-01,July
14,The Last Airbender,187900000,2010-07-01,150000000,131772187,319713881,169713881,113.14258733333334,tt0938283,103.0,Family,4.1,137734.0,16.595,2010-07-01,July
15,Little Fockers,162200000,2010-12-22,100000000,148438600,310650574,210650574,210.65057399999998,tt0970866,98.0,Comedy,5.5,99222.0,12.152999999999999,2010-12-21,December
15,Little Fockers,162200000,2010-12-22,100000000,148438600,310650574,210650574,210.65057399999998,tt0970866,98.0,Romance,5.5,99222.0,12.152999999999999,2010-12-21,December
16,Resident Evil: Afterlife,240100000,2010-09-10,57500000,60128566,295874190,238374190,414.5638086956522,tt1220634,96.0,Action,5.9,153270.0,0.667,2010-09-10,September
16,Resident Evil: Afterlife,240100000,2010-09-10,57500000,60128566,295874190,238374190,414.5638086956522,tt1220634,96.0,Adventure,5.9,153270.0,0.667,2010-09-10,September
16,Resident Evil: Afterlife,240100000,2010-09-10,57500000,60128566,295874190,238374190,414.5638086956522,tt1220634,96.0,Horror,5.9,153270.0,0.667,2010-09-10,September
17,Shutter Island,166800000,2010-02-19,80000000,128012934,299461782,219461782,274.3272275,tt1130884,138.0,Mystery,8.1,1005960.0,18.06,2010-02-18,February
17,Shutter Island,166800000,2010-02-19,80000000,128012934,299461782,219461782,274.3272275,tt1130884,138.0,Thriller,8.1,1005960.0,18.06,2010-02-18,February
18,Salt,175200000,2010-07-23,130000000,118311368,290650494,160650494,123.57730307692307,tt0944835,100.0,Action,6.4,277204.0,13.025,2010-07-23,July
18,Salt,175200000,2010-07-23,130000000,118311368,290650494,160650494,123.57730307692307,tt0944835,100.0,Mystery,6.4,277204.0,13.025,2010-07-23,July
18,Salt,175200000,2010-07-23,130000000,118311368,290650494,160650494,123.57730307692307,tt0944835,100.0,Thriller,6.4,277204.0,13.025,2010-07-23,July
20,Sex and the City 2,193000000,2010-05-27,95000000,95347692,294680778,199680778,210.19029263157893,tt1261945,146.0,Comedy,4.4,69199.0,9.986,2010-05-27,May
20,Sex and the City 2,193000000,2010-05-27,95000000,95347692,294680778,199680778,210.19029263157893,tt1261945,146.0,Drama,4.4,69199.0,9.986,2010-05-27,May
20,Sex and the City 2,193000000,2010-05-27,95000000,95347692,294680778,199680778,210.19029263157893,tt1261945,146.0,Romance,4.4,69199.0,9.986,2010-05-27,May
21,The Tourist,210700000,2010-12-10,100000000,67631157,278731369,178731369,178.731369,tt1243957,103.0,Action,6.0,206714.0,10.307,2010-12-10,December
21,The Tourist,210700000,2010-12-10,100000000,67631157,278731369,178731369,178.731369,tt1243957,103.0,Adventure,6.0,206714.0,10.307,2010-12-10,December
21,The Tourist,210700000,2010-12-10,100000000,67631157,278731369,178731369,178.731369,tt1243957,103.0,Thriller,6.0,206714.0,10.307,2010-12-10,December
22,The Expendables,171400000,2010-08-13,82000000,103068524,268268174,186268174,227.15630975609758,tt1320253,103.0,Action,6.5,307897.0,21.517,2010-08-03,August
22,The Expendables,171400000,2010-08-13,82000000,103068524,268268174,186268174,227.15630975609758,tt1320253,103.0,Adventure,6.5,307897.0,21.517,2010-08-03,August
22,The Expendables,171400000,2010-08-13,82000000,103068524,268268174,186268174,227.15630975609758,tt1320253,103.0,Thriller,6.5,307897.0,21.517,2010-08-03,August
23,Grown Ups,109400000,2010-06-25,75000000,162001186,272223430,197223430,262.9645733333333,tt1375670,102.0,Comedy,6.0,210377.0,14.290999999999999,2010-06-24,June
24,True Grit,81000000,2010-12-22,35000000,171243005,252276928,217276928,620.7912228571429,tt1403865,110.0,Adventure,7.6,284034.0,13.118,2010-12-22,December
24,True Grit,81000000,2010-12-22,35000000,171243005,252276928,217276928,620.7912228571429,tt1403865,110.0,Drama,7.6,284034.0,13.118,2010-12-22,December
24,True Grit,81000000,2010-12-22,35000000,171243005,252276928,217276928,620.7912228571429,tt1403865,110.0,Western,7.6,284034.0,13.118,2010-12-22,December
25,Gulliver's Travels,194600000,2010-12-25,112000000,42779261,232017848,120017848,107.15879285714284,tt1320261,85.0,Adventure,4.9,61178.0,10.767999999999999,2010-12-25,December
25,Gulliver's Travels,194600000,2010-12-25,112000000,42779261,232017848,120017848,107.15879285714284,tt1320261,85.0,Comedy,4.9,61178.0,10.767999999999999,2010-12-25,December
25,Gulliver's Travels,194600000,2010-12-25,112000000,42779261,232017848,120017848,107.15879285714284,tt1320261,85.0,Family,4.9,61178.0,10.767999999999999,2010-12-25,December
26,The Social Network,128000000,2010-10-01,40000000,96962694,224922135,184922135,462.30533749999995,tt1285016,120.0,Biography,7.7,568578.0,15.889000000000001,2010-10-01,October
26,The Social Network,128000000,2010-10-01,40000000,96962694,224922135,184922135,462.30533749999995,tt1285016,120.0,Drama,7.7,568578.0,15.889000000000001,2010-10-01,October
27,Valentine's Day,106000000,2010-02-12,52000000,110485654,217569328,165569328,318.40255384615386,tt0817230,125.0,Comedy,5.7,107171.0,11.187000000000001,2010-02-11,February
27,Valentine's Day,106000000,2010-02-12,52000000,110485654,217569328,165569328,318.40255384615386,tt0817230,125.0,Romance,5.7,107171.0,11.187000000000001,2010-02-11,February
28,The Sorcerer's Apprentice,152100000,2010-07-14,160000000,63150991,217986320,57986320,36.24145,tt0963966,109.0,Action,6.1,143862.0,14.463,2010-07-13,July
28,The Sorcerer's Apprentice,152100000,2010-07-14,160000000,63150991,217986320,57986320,36.24145,tt0963966,109.0,Adventure,6.1,143862.0,14.463,2010-07-13,July
28,The Sorcerer's Apprentice,152100000,2010-07-14,160000000,63150991,217986320,57986320,36.24145,tt0963966,109.0,Family,6.1,143862.0,14.463,2010-07-13,July
29,Due Date,111200000,2010-11-05,65000000,100539043,211739043,146739043,225.75237384615386,tt1231583,95.0,Adventure,6.5,303523.0,12.445,2010-11-04,November
29,Due Date,111200000,2010-11-05,65000000,100539043,211739043,146739043,225.75237384615386,tt1231583,95.0,Comedy,6.5,303523.0,12.445,2010-11-04,November
30,Eat Pray Love,124000000,2010-08-13,60000000,80574010,206598789,146598789,244.331315,tt0879870,133.0,Drama,5.8,77709.0,9.991,2010-08-12,August
30,Eat Pray Love,124000000,2010-08-13,60000000,80574010,206598789,146598789,244.331315,tt0879870,133.0,Romance,5.8,77709.0,9.991,2010-08-12,August
31,Yogi Bear,101300000,2010-12-17,80000000,100246011,204774690,124774690,155.96836249999998,tt1302067,80.0,Adventure,4.6,18934.0,9.096,2010-12-17,December
31,Yogi Bear,101300000,2010-12-17,80000000,100246011,204774690,124774690,155.96836249999998,tt1302067,80.0,Animation,4.6,18934.0,9.096,2010-12-17,December
31,Yogi Bear,101300000,2010-12-17,80000000,100246011,204774690,124774690,155.96836249999998,tt1302067,80.0,Comedy,4.6,18934.0,9.096,2010-12-17,December
32,Paranormal Activity 2,92800000,2010-10-20,3000000,84752907,177512032,174512032,5817.067733333333,tt1536044,91.0,Horror,5.7,93122.0,8.163,2010-10-21,October
33,The A-Team,100000000,2010-06-11,110000000,77222099,177241171,67241171,61.12833727272727,tt0429493,117.0,Action,6.8,235256.0,17.097,2010-06-11,June
