,foreign_gross,production_budget,net_profit,movie_title,domestic_gross,world_wide_gross_Profit,ROI,genre_ids,id,popularity,release_date,vote_average,vote_count,genres_labels
0,652000000.0,200000000.0,868879522.0,Toy Story 3,415004880.0,1068879522.0,434.439761,"[16, 10751, 35]",10193.0,24.445,2010-06-17,7.7,8340.0,"Animation, Family, Comedy"
1,535700000.0,160000000.0,675524642.0,Inception,292576195.0,835524642.0,422.20290125,"[28, 878, 12]",27205.0,27.92,2010-07-16,8.3,22186.0,"Action, Science Fiction, Adventure"
2,513900000.0,165000000.0,591244673.0,Shrek Forever After,238736787.0,756244673.0,358.3301048484849,"[35, 12, 14, 16, 10751]",10192.0,15.041,2010-05-16,6.1,3843.0,"Comedy, Adventure, Fantasy, Animation, Family"
3,398000000.0,68000000.0,638102828.0,The Twilight Saga: Eclipse,300531751.0,706102828.0,938.3865117647058,"[12, 14, 18, 10749]",24021.0,20.34,2010-06-23,6.0,4909.0,"Adventure, Fantasy, Drama, Romance"
4,311500000.0,170000000.0,451156389.0,Iron Man 2,312433331.0,621156389.0,265.3861111764706,"[12, 28, 878]",10138.0,28.515,2010-05-07,6.8,12368.0,"Adventure, Action, Science Fiction"
5,391000000.0,260000000.0,326477240.0,Tangled,200821936.0,586477240.0,125.56816923076923,"[16, 10751]",38757.0,21.511,2010-11-24,7.5,6407.0,"Animation, Family"
6,291600000.0,69000000.0,474464573.0,Despicable Me,251513985.0,543464573.0,687.6298159420289,"[16, 10751, 35]",20352.0,23.673,2010-07-09,7.2,10057.0,"Animation, Family, Comedy"
7,277300000.0,165000000.0,329870992.0,How to Train Your Dragon,217581232.0,494870992.0,199.92181333333335,"[14, 12, 16, 10751]",10191.0,28.734,2010-03-26,7.7,7610.0,"Fantasy, Adventure, Animation, Family"
8,311300000.0,155000000.0,263186950.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,104386950.0,418186950.0,169.79803225806452,"[12, 10751, 14]",10140.0,17.382,2010-12-10,6.3,3196.0,"Adventure, Family, Fantasy"
9,182500000.0,40000000.0,311774938.0,The Karate Kid,176591618.0,351774938.0,779.437345,"[28, 12, 18, 10751]",38575.0,12.256,2010-06-10,6.3,3140.0,"Action, Adventure, Drama, Family"
10,182500000.0,8000000.0,82815558.0,The Karate Kid,90815558.0,90815558.0,1035.194475,"[28, 12, 18, 10751]",38575.0,12.256,2010-06-10,6.3,3140.0,"Action, Adventure, Drama, Family"
