,foreign_gross,production_budget,net_profit,movie_title,domestic_gross,world_wide_gross_Profit,ROI
0,652000000.0,200000000.0,868879522.0,Toy Story 3,415004880.0,1068879522.0,434.439761
3,535700000.0,160000000.0,675524642.0,Inception,292576195.0,835524642.0,422.20290125
4,513900000.0,165000000.0,591244673.0,Shrek Forever After,238736787.0,756244673.0,358.3301048484849
5,398000000.0,68000000.0,638102828.0,The Twilight Saga: Eclipse,300531751.0,706102828.0,938.3865117647058
6,311500000.0,170000000.0,451156389.0,Iron Man 2,312433331.0,621156389.0,265.3861111764706
7,391000000.0,260000000.0,326477240.0,Tangled,200821936.0,586477240.0,125.56816923076923
8,291600000.0,69000000.0,474464573.0,Despicable Me,251513985.0,543464573.0,687.6298159420289
9,277300000.0,165000000.0,329870992.0,How to Train Your Dragon,217581232.0,494870992.0,199.92181333333335
11,311300000.0,155000000.0,263186950.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,104386950.0,418186950.0,169.79803225806452
14,182500000.0,40000000.0,311774938.0,The Karate Kid,176591618.0,351774938.0,779.437345
15,182500000.0,8000000.0,82815558.0,The Karate Kid,90815558.0,90815558.0,1035.194475
17,222400000.0,13000000.0,318266710.0,Black Swan,106954678.0,331266710.0,2448.205461538462
18,173500000.0,130000000.0,191887208.0,Megamind,148415853.0,321887208.0,147.60554461538462
19,216400000.0,210000000.0,112459006.0,Robin Hood,105487148.0,322459006.0,53.551907619047626
20,216400000.0,99000000.0,-14252559.0,Robin Hood,30824628.0,84747441.0,-14.396524242424242
21,187900000.0,150000000.0,169713881.0,The Last Airbender,131772187.0,319713881.0,113.14258733333334
22,162200000.0,100000000.0,210650574.0,Little Fockers,148438600.0,310650574.0,210.65057399999998
23,240100000.0,57500000.0,238374190.0,Resident Evil: Afterlife,60128566.0,295874190.0,414.5638086956522
24,166800000.0,80000000.0,219461782.0,Shutter Island,128012934.0,299461782.0,274.3272275
25,175200000.0,130000000.0,160650494.0,Salt,118311368.0,290650494.0,123.57730307692307
26,193000000.0,95000000.0,199680778.0,Sex and the City 2,95347692.0,294680778.0,210.19029263157893
27,210700000.0,100000000.0,178731369.0,The Tourist,67631157.0,278731369.0,178.731369
28,171400000.0,82000000.0,186268174.0,The Expendables,103068524.0,268268174.0,227.15630975609758
29,109400000.0,75000000.0,197223430.0,Grown Ups,162001186.0,272223430.0,262.9645733333333
31,81000000.0,35000000.0,217276928.0,True Grit,171243005.0,252276928.0,620.7912228571429
32,194600000.0,112000000.0,120017848.0,Gulliver's Travels,42779261.0,232017848.0,107.15879285714284
34,128000000.0,40000000.0,184922135.0,The Social Network,96962694.0,224922135.0,462.30533749999995
35,106000000.0,52000000.0,165569328.0,Valentine's Day,110485654.0,217569328.0,318.40255384615386
36,152100000.0,160000000.0,57986320.0,The Sorcerer's Apprentice,63150991.0,217986320.0,36.24145
37,111200000.0,65000000.0,146739043.0,Due Date,100539043.0,211739043.0,225.75237384615386
38,124000000.0,60000000.0,146598789.0,Eat Pray Love,80574010.0,206598789.0,244.331315
39,101300000.0,80000000.0,124774690.0,Yogi Bear,100246011.0,204774690.0,155.96836249999998
40,108600000.0,60000000.0,136439693.0,Red,90380162.0,196439693.0,227.39948833333332
41,92800000.0,3000000.0,174512032.0,Paranormal Activity 2,84752907.0,177512032.0,5817.067733333333
42,100000000.0,110000000.0,67241171.0,The A-Team,77222099.0,177241171.0,61.12833727272727
44,51200000.0,100000000.0,70936470.0,The Other Guys,119219978.0,170936470.0,70.93647
45,86200000.0,95000000.0,70720921.0,Unstoppable,81562942.0,165720921.0,74.4430747368421
47,62300000.0,80000000.0,78750817.0,The Book of Eli,94835059.0,158750817.0,98.43852125
48,61800000.0,37000000.0,115566881.0,The Town,92186262.0,152566881.0,312.3429216216216
49,53600000.0,55000000.0,97269033.0,Date Night,98711404.0,152269033.0,176.85278727272726
50,84400000.0,100000000.0,39716717.0,Legend of the Guardians: The Owls of Ga'Hoole,55675313.0,139716717.0,39.716717
51,77800000.0,150000000.0,-7365642.0,The Wolfman,62189884.0,142634358.0,-4.910428
52,69300000.0,45000000.0,90808837.0,The Bounty Hunter,67061228.0,135808837.0,201.79741555555557
53,90400000.0,17000000.0,116735284.0,Saw 3D,45710178.0,133735284.0,686.6781411764705
55,35600000.0,11000000.0,118262388.0,The Fighter,93617009.0,129262388.0,1075.112618181818
56,75200000.0,40000000.0,87234389.0,Predators,52000688.0,127234389.0,218.0859725
58,35000000.0,25000000.0,117033509.0,Dear John,80014842.0,142033509.0,468.13403600000004
59,68900000.0,85000000.0,28026383.0,Cats & Dogs: The Revenge of Kitty Galore,43585753.0,113026383.0,32.972215294117646
60,52400000.0,48000000.0,64610386.0,Tooth Fairy,60022256.0,112610386.0,134.60497083333334
61,52300000.0,38000000.0,67887837.0,Life as We Know It,53374681.0,105887837.0,178.65220263157894
62,72500000.0,50000000.0,58660270.0,Hereafter,32746941.0,108660270.0,117.32054000000001
63,94300000.0,90000000.0,149373970.0,The Girl with the Dragon Tattoo,102515793.0,239373970.0,165.97107777777777
64,70500000.0,30000000.0,72716321.0,Love and Other Drugs,32367005.0,102716321.0,242.38773666666668
66,51100000.0,75000000.0,20572749.0,Killers,47059963.0,95572749.0,27.430332
